source_id,source_kind,relationship_id,relationship_label,target_id,target_kind,description,properties_json
scenario.default.task,scenario_profile,activates_task,激活任务,task.building.fusion,task,Default Direct Task Profile（scenario.default.task）激活任务Building Fusion（task.building.fusion）。,{}
scenario.default.task,scenario_profile,activates_task,激活任务,task.poi.fusion,task,Default Direct Task Profile（scenario.default.task）激活任务POI Fusion（task.poi.fusion）。,{}
scenario.default.task,scenario_profile,activates_task,激活任务,task.road.fusion,task,Default Direct Task Profile（scenario.default.task）激活任务Road Fusion（task.road.fusion）。,{}
scenario.default.task,scenario_profile,activates_task,激活任务,task.vector.download,task,Default Direct Task Profile（scenario.default.task）激活任务Vector Data Download（task.vector.download）。,{}
scenario.default.task,scenario_profile,activates_task,激活任务,task.water.fusion,task,Default Direct Task Profile（scenario.default.task）激活任务Water Fusion（task.water.fusion）。,{}
scenario.default.task,scenario_profile,activates_task,激活任务,task.waterways.fusion,task,Default Direct Task Profile（scenario.default.task）激活任务Waterways Fusion（task.waterways.fusion）。,{}
scenario.earthquake.default,scenario_profile,activates_task,激活任务,task.building.fusion,task,Earthquake Default Scenario（scenario.earthquake.default）激活任务Building Fusion（task.building.fusion）。,{}
scenario.earthquake.default,scenario_profile,activates_task,激活任务,task.road.fusion,task,Earthquake Default Scenario（scenario.earthquake.default）激活任务Road Fusion（task.road.fusion）。,{}
scenario.flood.default,scenario_profile,activates_task,激活任务,task.building.fusion,task,Flood Default Scenario（scenario.flood.default）激活任务Building Fusion（task.building.fusion）。,{}
scenario.flood.default,scenario_profile,activates_task,激活任务,task.road.fusion,task,Flood Default Scenario（scenario.flood.default）激活任务Road Fusion（task.road.fusion）。,{}
scenario.typhoon.default,scenario_profile,activates_task,激活任务,task.building.fusion,task,Typhoon Default Scenario（scenario.typhoon.default）激活任务Building Fusion（task.building.fusion）。,{}
scenario.typhoon.default,scenario_profile,activates_task,激活任务,task.road.fusion,task,Typhoon Default Scenario（scenario.typhoon.default）激活任务Road Fusion（task.road.fusion）。,{}
osp.building.fused.v1,output_schema_policy,applies_to_output_type,适用于输出类型,dt.building.fused,data_type,osp.building.fused.v1（osp.building.fused.v1）适用于输出类型dt.building.fused（dt.building.fused）。,{}
osp.poi.fused.v1,output_schema_policy,applies_to_output_type,适用于输出类型,dt.poi.fused,data_type,osp.poi.fused.v1（osp.poi.fused.v1）适用于输出类型dt.poi.fused（dt.poi.fused）。,{}
osp.road.fused.v1,output_schema_policy,applies_to_output_type,适用于输出类型,dt.road.fused,data_type,osp.road.fused.v1（osp.road.fused.v1）适用于输出类型dt.road.fused（dt.road.fused）。,{}
osp.water.fused.v1,output_schema_policy,applies_to_output_type,适用于输出类型,dt.water.fused,data_type,osp.water.fused.v1（osp.water.fused.v1）适用于输出类型dt.water.fused（dt.water.fused）。,{}
osp.waterways.fused.v1,output_schema_policy,applies_to_output_type,适用于输出类型,dt.waterways.fused,data_type,osp.waterways.fused.v1（osp.waterways.fused.v1）适用于输出类型dt.waterways.fused（dt.waterways.fused）。,{}
contract.product.building.v1,product_contract,applies_to_scenario,适用于场景,scenario.default.task,scenario_profile,Fused Building Footprint Product（contract.product.building.v1）适用于场景Default Direct Task Profile（scenario.default.task）。,{}
contract.product.building.v1,product_contract,applies_to_scenario,适用于场景,scenario.earthquake.default,scenario_profile,Fused Building Footprint Product（contract.product.building.v1）适用于场景Earthquake Default Scenario（scenario.earthquake.default）。,{}
contract.product.building.v1,product_contract,applies_to_scenario,适用于场景,scenario.flood.default,scenario_profile,Fused Building Footprint Product（contract.product.building.v1）适用于场景Flood Default Scenario（scenario.flood.default）。,{}
contract.product.building.v1,product_contract,applies_to_scenario,适用于场景,scenario.typhoon.default,scenario_profile,Fused Building Footprint Product（contract.product.building.v1）适用于场景Typhoon Default Scenario（scenario.typhoon.default）。,{}
contract.product.emergency_vector_bundle.v1,product_contract,applies_to_scenario,适用于场景,scenario.default.task,scenario_profile,Emergency Multi-Layer Vector Product Bundle（contract.product.emergency_vector_bundle.v1）适用于场景Default Direct Task Profile（scenario.default.task）。,{}
contract.product.emergency_vector_bundle.v1,product_contract,applies_to_scenario,适用于场景,scenario.earthquake.default,scenario_profile,Emergency Multi-Layer Vector Product Bundle（contract.product.emergency_vector_bundle.v1）适用于场景Earthquake Default Scenario（scenario.earthquake.default）。,{}
contract.product.emergency_vector_bundle.v1,product_contract,applies_to_scenario,适用于场景,scenario.flood.default,scenario_profile,Emergency Multi-Layer Vector Product Bundle（contract.product.emergency_vector_bundle.v1）适用于场景Flood Default Scenario（scenario.flood.default）。,{}
contract.product.emergency_vector_bundle.v1,product_contract,applies_to_scenario,适用于场景,scenario.typhoon.default,scenario_profile,Emergency Multi-Layer Vector Product Bundle（contract.product.emergency_vector_bundle.v1）适用于场景Typhoon Default Scenario（scenario.typhoon.default）。,{}
contract.product.poi.v1,product_contract,applies_to_scenario,适用于场景,scenario.default.task,scenario_profile,Fused Point-of-Interest Product（contract.product.poi.v1）适用于场景Default Direct Task Profile（scenario.default.task）。,{}
contract.product.road.v1,product_contract,applies_to_scenario,适用于场景,scenario.default.task,scenario_profile,Fused Road Network Product（contract.product.road.v1）适用于场景Default Direct Task Profile（scenario.default.task）。,{}
contract.product.road.v1,product_contract,applies_to_scenario,适用于场景,scenario.earthquake.default,scenario_profile,Fused Road Network Product（contract.product.road.v1）适用于场景Earthquake Default Scenario（scenario.earthquake.default）。,{}
contract.product.road.v1,product_contract,applies_to_scenario,适用于场景,scenario.flood.default,scenario_profile,Fused Road Network Product（contract.product.road.v1）适用于场景Flood Default Scenario（scenario.flood.default）。,{}
contract.product.road.v1,product_contract,applies_to_scenario,适用于场景,scenario.typhoon.default,scenario_profile,Fused Road Network Product（contract.product.road.v1）适用于场景Typhoon Default Scenario（scenario.typhoon.default）。,{}
